Species2,Common_name,Confirmed
Lophiomus setigerus,rape bocanegra,*
Lutjanus aratus,"Pargo jilguero, Pargo raicero",*
Lutjanus argentiventris,Pargo amarillo,*
Lutjanus colorado,"Pargo achotillo, Pargo colorado, Pargo rojo",*
Lutjanus guttatus,"Pargo de la mancha, Pargo lunarejo",*
Lutjanus inermis,Pargo rabirubia,*
Lutjanus jordani,"Pargo colmillón, Pargo huachinango, Pargo ñanguero",*
Lutjanus novemfasciatus,"Pargo dientón, Pargo negro, Pargo prieto",*
Lutjanus peru,"Pargo de seda, Huachinango del Pacífico, Pargo gringo",*
Lutjanus viridis,"Pargo azul, Pargo azul dorado",*
Luvarus imperialis,el Emperador,*
Lythrypnus dalli,"Gobio azul rayado, Gobio bonito, Gobio relámpago",*
Lythrypnus pulchellus,Gobio coquetón,*
Makaira nigricans,Merlín azul,*
Malacoctenus ebisui,Trambollo dorado,*
Malacoctenus gigas,"Trambollo de Sonora, Trambollo veteado",*
Malacoctenus hubbsi,"Trambollo panza roja, Trambollo rojo",*
Malacoctenus mexicanus,Trambollo méxicano,*
Malacoctenus polyporosus,Trambollo poroso,*
Malacoctenus tetranemus,"Trambollo moteado, Trambollo pintado",*
Malacoctenus zacae,Trambollo aletamarilla,*
Malacoctenus zonifer,"Trambollo brilloso, Trambollo de pozo",*
Masturus lanceolatus,"Mola cola puntiaguda, Pez-sol cola puntiaguda",*
Medialuna californiensis,Chopa medialuna,*
Melichthys niger,"Calafate negro, Chancho negro, Cochito negro, Pejepuerco negro",*
Membras gilberti,Pejerrey landia,*
Menticirrhus elongatus,"Lambe bocadulce, Zorra fina",*
Menticirrhus nasus,"Zorra llorona, Lambe real",*
Menticirrhus panamensis,"Lambe gurrubata, Zorra panameña",*
Menticirrhus undulatus,"Lambe berrugato, Berrugato californiano",*
Merluccius productus,"Merluza del Pacífico norte, Merluza norteña",*
Microdesmus affinis,"Gobio-gusano cola corta, Pez lombriz oliváceo",*
Microdesmus dipus,Gobio-gusano rayado,*
Microdesmus dorsipunctatus,"Gobio-gusano dorso manchado, Pez lombriz lomo punteado",*
Microdesmus retropinnis,"Pez lombriz aletatrasera, Gobio-gusano doble manchado",*
Microdesmus suttkusi,"Gobio-gusano de Suttkus, Pez lombriz manchado",*
Microgobius brevispinis,"Gobio de Balboa, Gobio espinas cortas",*
Microgobius cyclolepis,Gobio escamas redondas,*
Microgobius emblematicus,"Gobio bandera, Gobio emblema",*
Microgobius erectus,"Gobio arenoso, Gobio chato",*
Microgobius miraflorensis,"Gobio de Miraflores, Gobio jupón",*
Microgobius tabogensis,Gobio de Taboga,*
Microlepidotus brevipinnis,"Ronco bronceado, Ronco chuerca, Corocoro corcovado, Callana dorada",*
Microlepidotus inornatus,"Ronco jopatón, Ronco rayadito",*
Micropogonias altipinnis,"Corvina agria, Corvina alona, Corvina dorada, Chano sureño",*
Microspathodon bairdii,"Jaqueta bocona, Jaqueta vistosa",*
Microspathodon dorsalis,"Castañuela gigante, Jaqueta gigante",*
Mobula birostris,"Manta gigante, la Mantarraya, Manta voladora",*
Mobula mobular,"Manta arpón, Manta de aguijón",*
Mobula munkiana,"Manta chica, Manta de Munk, Manta diabla, Manta enana",*
Mobula tarapacana,Manta cornuda,*
Mobula thurstoni,"Diablo chupasangre, Manta doblada",*
Mola mola,"Mola mola, Pez-sol oceánico",*
Mugil cephalus,"Lisa común, Lisa pardete, Lisa rayada",*
Mugil hospes,"Lisa hospe, Lisa verde",*
Mugil setosus,Lisa liseta,*
Mugil thoburni,"Lisa agugú, Lisa de Thoburni, Lisa labiosa",*
Mulloidichthys dentatus,"Salmonete amarillo, Salmonete barbón",*
Muraena argus,"Morena argos, Morena de pecas blancas",*
Muraena clepsydra,"Morena clepsidra, Morena de ocelo, Morena de piedra",*
Muraena lentiginosa,"Morena joya, Morena pinta",*
Mustelus albipinnis,Musola puntiblanca,*
Mustelus californicus,"Tiburón cazón mamón, Musola gris",*
Mustelus dorsalis,"Musola blanca, Tiburón cazón tripa, Tiburón mamón enano",*
Mustelus henlei,"Tiburón cazón hilacho, Musola parda",*
Mustelus lunulatus,"Tiburón cazón segador, Tiburón mamón común, Musola segadora",*
Mycteroperca jordani,"Mero baya, Garropa del golfo",*
Mycteroperca prionura,"Garropa aserrada, Cabrilla chiruda",*
Mycteroperca rosacea,"Garropa calamaria, Cabrilla sardinera",*
Mycteroperca xenarcha,"Mero brujo, Garropa pintada, Cabrilla plomuda",*
Myliobatis californicus,Tecolote de California,*
Myliobatis longirostris,"Águila picuda, Tecolote picudo",*
Myrichthys aspetocheiros,"Tieso aletón, Tieso de aleta larga",*
Myrichthys xysturus,"Tieso manchado, Tieso tigre",*
Myripristis leiognathus,"Soldado anaranjado, Soldado panámico",*
Myrophis vafer,"Anguila-lombriz común, Serpentón gusano, Tieso lombriz",*
Myxodagnus opercularis,"Miracielo de arena de Gill, Miraestrellas de arena virote",*
Narcetes stomias,cabeza lisa cabeza negra,*
Narcine entemedor,"Raya-eléctrica común, Raya-eléctrica gigante",*
Narcine vermiculata,"Raya eléctrica rayada, Raya-eléctrica vermiculada",*
Nasolamia velox,"Tiburón cazón pico blanco, Tiburón coyotito, Cazón trompa blanca, Tiburón zapato",*
Naucrates ductor,el Pez piloto,*
Negaprion fronto,tiburón del Pacífico,*
Nematistius pectoralis,"el Papagallo, el Pejegallo, el Pejepluma, el Plumero",*
Neobythites stelliferoides,"Brótula de hebra, Congriperla de hebra",*
Neoconger vermiformis,Anguila macarrón,*
Neoniphon suborbitalis,"el Pez-ardilla, Candil sol",*
Neoopisthopterus tropicus,"Sardinela pelada, Arenquilla tropical",*
Nicholsina denticulata,"Pococho beriquete, Pococho de mar",*
Nomeus gronovii,"Derivante fragata portuguesa, Pez hombre-de-la-guerra, Pez medusa",*
Notarius kessleri,"Cominata cabezona bronceada, bagre esculpido",*
Notarius planiceps,"Cominata chomba, bagre chombo",*
Notarius troschelii,"bagre chili, bagre colorado",*
Notorynchus cepedianus,"cañabota gata, Tiburón pinto",*
Novaculichthys taeniourus,"Doncella alguera, Cuchillo dragón, Peine payaso",*
Occidentarius platypogon,"bagre cominate, bagre ojoa, Cominata ojoa",*
Odontaspis ferox,"Tiburón dientes de perro, Tiburón solrayo",*
Ogilbia davidsmithi,Brótula con poros grandes,*
Ogilbia nigromarginata,Brótula con bordes negros,*
Ogilbia nudiceps,Brótula desnuda,*
Ogilbia ventralis,Brótula café rojizo,*
Oligoplites altus,"Cuero amarillo, Piña bocona, Zapatero sierrita",*
Oligoplites inornatus,"Cuero coliamarilla, Zapatero siete cueros",*
Oligoplites refulgens,"Piña flaca, Cuero flaco, Cuero ojoa, Zapatero raspa balsa",*
Ophichthus frontalis,"Tieso funebre, Tieso mortuorio",*
Ophichthus triserialis,"Tieso del Pacífico, Tieso moteado",*
Ophichthus zophochir,Tieso amarillo,*
Ophidion galeoides,"Congriperla adornada, Congriperla dorada, Congriperla estriada",*
Ophidion iris,Congriperla arcoiris,*
Ophioblennius steindachneri,"Borracho mono, Cachudito mono",*
Opisthonema bulleri,"Sardina crinuda azul, Machuelo-hebra del Pacífico, Sardina-gallera fina",*
Opisthonema libertate,"Sardina-gallera común, Sardina crinuda, Arenque de hebra común, Machuelo hebra del Pacífico, Sardina-gallera pecosa, Machuelo hebra pinchagua",*
Opisthonema medirastre,"Machuelo-hebra acemite, Sardina crinuda machete, Sardina-gallera plateada",*
Opisthopterus dovii,"Sardina chata, Arenquilla de Dove, Sardina machete chata",*
Opistognathus brochus,Bocón dientudo,*
Opistognathus fossoris,Bocón rayado,*
Opistognathus punctatus,Bocón punteado,*
Opistognathus rhomaleus,Bocón gigante,*
Opistognathus rosenblatti,"Bocón bicolor, Bocón manchas azules",*
Opistognathus scops,"Bocón de aleta manchada, Bocón ocelado, Bocón ojo de toro",*
Opistognathus walkeri,Bocón bocón,*
Orthopristis cantharina,"Corocoro brin, Teniente de Galápagos",*
Orthopristis chalcea,"Burrito corcovado, Corcovado zapata",*
Orthopristis reddingi,"Corocoro bronceado, Corocoro dorado, Burrito rayado",*
Ostracion meleagris,"Pez-cofre manchado, Cofre moteado",*
Otophidium indefatigabile,"Congriperla cabezona, Congriperla listada, Congriperla mancha café",*
Oxycirrhites typus,Halcón narigón,*
Oxyporhamphus micropterus,"Agujeta aletona, Volador alita, Saltador ñato",*
Paraclinus altivelis,"Trambollito juanete, Trambollito vela alta",*
Paraclinus asper,Trambollo sargaso,*
Paraclinus beebei,"Trambollito clavel, Trambollito de Beebe",*
Paraclinus mexicanus,"Trambollito llorón, Trambollito mexicano",*
Paraclinus sini,Trambollito frondoso,*
Paraclinus tanygnathus,Trambollito adornado,*
Paraconger californiensis,"Congrio anteojos, Congrio blanco, Congrio de aleta negra, Congrio de California",*
Paralabrax auroguttatus,"Cabrilla extranjera, Cabrilla mancha amarilla",*
Paralabrax clathratus,"Cabrilla alguera, Cabrilla sargacera",*
Paralabrax loro,"Cabrilla cachete amarillo, Cabrilla loro, Cabrilla roquera",*
Paralabrax maculatofasciatus,"Cabrilla de roca, Cabrilla pecosa",*
Paralabrax nebulifer,"Cabrilla de arena, Cabrilla verde de arena",*
Paraletharchus pacificus,Tieso-vela del Pacífico,*
Paralichthys aestuarius,Lenguado de Cortés,*
Paralichthys woolmani,Lenguado huarache,*
Paralonchurus goodei,"Cinchada ángel, Corvineta ángel, Lambe rayado",*
Paralonchurus rathbuni,"Lambe barbón, Cinchada de la mancha",*
Parapsettus panamensis,"el Curaca, pollera panameña, el Yambo, la Zapatero",*
Paraselene orstedii,"Jorobado carite, Palometa espejo",*
Pareques species A,"Corvinilla del Pacífico, Payasito gungo",*
Parexocoetus brachypterus,Volador aletón,*
Parmaturus xaniurus,pejegato lima,*
Parrella ginsburgi,"Gobio de Ginsburg, Gobio lunarejo",*
Parrella maxillaris,Gobio veteado,*
Peprilus medius,"Pampanito aleta larga, Palometa cometrapo, Palometa común",*
Peprilus ovatus,Palometa de Cortés,*
Peprilus simillimus,Palometa plateada,*
Peprilus snyderi,"Pampanito aleta corta, Palometa salema",*
Perissias taeniopterus,"Lenguado abanderado, Lenguado estriado",*
Peristedion paucibarbiger,"Vaquita blindada de Cortés, Cocodrilo poca barba",*
Petrotyx hopkinsi,"Brótula hocico terciopelado, Congrio hocico velludillo, Congrio pardo",*
Phaenomonas pinnata,Tieso elástico,*
Phthanophaneron harveyi,"Pez-linterna mejicana, Ojo de linterna panámica",*
Phtheirichthys lineatus,Rémora delgada,*
Physiculus nematopus,"carbonero de fango, Mora de fango",*
Physiculus rastrelliger,carbonero negro,*
Plagiotremus azaleus,"Trambollito diente de sable, Borracho veloz",*
Platax teira,pollera aletona,*
Platybelone pterura,Agujón de quilla,*
Platyrhinoidis triseriata,Guitarra espinuda,*
Pleuronichthys guttulatus,Platija diamante,*
Pleuronichthys ocellatus,Platija ocelada,*
Pleuronichthys ritteri,"Platija moteada, Platija ojos chicos",*
Pleuronichthys verticalis,"Platija cabeza dura, Platija cornuda",*
Pliosteostoma lutipinnis,Arenquilla aleta amarilla,*
Poeciliopsis latidens,"Olomina de dientes anchos, Guatopote del Fuerte",*
Poeciliopsis prolifica,"Guatopote culiche, Olomina prolífica",*
Polydactylus approximans,"Barbudo azul, Bobo blanco, Barbudo de seis barbas",*
Polydactylus opercularis,"Bobo amarillo, Barbudo de nueve barbas",*
Pomacanthus zonipectus,"Ángel de Cortés, Isabelita zopilote",*
Pontinus furcirhinus,"Rascacio richichi, Lapón rojo, Pez-escorpión rojo",*
Pontinus sierra,"Lapón imitador, Rascacio lapón, Lapón manchado",*
Pontinus species A,Puñal rosado,*
Pontinus vaughani,Lapón lomo manchado,*
Porichthys analis,Pez-fraile de luto,*
Porichthys ephippiatus,Pez-fraile ensillado,*
Porichthys margaritatus,"Pez-fraile de oro, Sapo luminoso, Pez-fraile margarita",*
Porichthys mimeticus,Pez-fraile mimético,*
Porichthys myriaster,Pez-fraile de aleta manchada,*
Prionace glauca,Tiburón azul,*
Prionotus albirostris,"Cabro cariblanco, Rubio rey",*
Prionotus birostratus,"Cabro de dos picos, Cabro lapón",*
Prionotus horrens,"Cabro común, Cabro gigante, Rubio polla",*
Prionotus ruscarius,"Cabro áspero, Rubio gallineta, Vaca rasposa",*
Prionotus stephanophrys,Cabro volador,*
Prionurus laticlavius,Navajón barbero,*
Pristigenys serrula,"Rey de pargo, el Ojo-de-plata, Catalufa semáforo",*
Pristis pristis,"Pez sierra común, Pez serrucho dientes grandes, Pez sierra dientes grandes",*
Prognathodes falcifer,"Mariposa norteña de profundidad, Mariposa norteña guadaña",*
Prognichthys sealei,Volador marinero,*
Prognichthys tringa,"Volador panámico, Volador tringa",*
Pronotogrammus multifasciatus,"Serrano baga, Doncella común",*
Protemblemaria bicirrus,Trambollín-tubícola tupido,*
Psenes sio,Flotador dos espinas,*
Pseudobalistes naufragium,"Cochito bota, Chancho con bandas, Pejepuerco de piedra, Chancho fisgón",*
Pseudobatos buthi,Guitarra pala,*
Pseudobatos glaucostigma,Guitarra punteada,*
Pseudobatos leucorhynchus,Guitarra trompa blanca,*
Pseudobatos productus,"Guitarra trompa de pala, Guitarra viola",*
Pseudogramma thaumasia,"Jaboncillo manchado, Jaboncillo ocelado",*
Pseudomyrophis micropinna,"Serpentón enano, Tieso enano",*
Pseudupeneus grandisquamis,"Chivo escamudo, Salmonete gringuito, Salmonete rosado",*
Ptereleotris carinata,"Gobio-dardo del Pacífico, Gobio-dardo panámico",*
Pteroplatytrygon violacea,"Raya-látigo obispo, Raya-látigo violeta",*
Quassiremus nothochir,"Tieso bisagra, Tieso pequeño",*
Quietula guaymasiae,Gobio de Guaymas,*
Quietula y-cauda,Gobio sombreado,*
Ranzania laevis,"Pez-sol delgado, Mola flaca, la Ranzania",*
Regalecus russelii,el pez remo,*
Remora albescens,Rémora blanca,*
Remora australis,Rémora de ballena,*
Remora brachyptera,"Rémora arpón, Rémora robusta",*
Remora osteochir,Rémora de merlín,*
Remora remora,"Rémora negra, Rémora tiburonera",*
Rhencus macracanthus,"Corocoro coche, Ronco espina larga, Roncacho gordo",*
Rhencus panamensis,"Ronco blanco, Ronco jupón, Vieja jupona, Corocoro mapache",*
Rhincodon typus,Tiburón ballena,*
Rhinoptera steindachneri,"chucho dorado, Gavilán dorado",*
Rhizoprionodon longurio,"Tiburón cazón bironche, Cazón picudo del Pacífico",*
Rhonciscus bayanus,"Corocoro boquimorado, Ronco liso",*
Rhonciscus branickii,"Roncacho arenero, Ronco burro, Corocoro carruco, Roncador gallinazo",*
Rhynchoconger nitens,"Congrio coliaguja, Congrio estilete, Congrio trompudo",*
Roncador stearnsii,Roncador aleta manchada,*
Rostroraja equatorialis,"Raya bruja, Raya ecuatorial",*
Rostroraja velezi,"Raya bruja de dos manchas, Raya chillona, Raya de Velez",*
Rypticus bicolor,"Jabonero baboso, Jabonero de Cortés, Jabonero moteado",*
Rypticus nigripinnis,"Jabonero doble punteado, Jabonero negro",*
Sarda chiliensis,"Bonito del Pacífico oriental, Bonito oriental sureño",*
Sarda orientalis,Bonito mono,*
Sardinops sagax,"Sardina de California y Perú, Sardina monterrey",*
Scarus compressus,Loro chato,*
Scarus ghobban,Loro barbazul,*
Scarus perrico,Loro jorobado,*
Scarus rubroviolaceus,"Loro bicolor, Loro violáceo",*
Scomber australasicus,Caballa pintoja,*
Scomber japonicus,"Caballa del Sur, Macarela estornino",*
Scomberomorus concolor,"Carite de Monterey, Sierra golfina",*
Scomberomorus sierra,"Sierra común, Sierra del Pacífico, Macarela sierra",*
Scorpaena afuerae,Rascacio párlamo,*
Scorpaena guttata,Rascacio californiano,*
Scorpaena histrio,"Lapón diablo, Rascacio jugador, Escorpión juguetón",*
Scorpaena mystes,"Lapón escorpión, Lapón roquero",*
Scorpaena russula,Lapón sapo,*
Scorpaena sonorae,Escorpión de Sonora,*
Scorpaenodes xyris,"Rascacio arcoiris, Escorpión enano",*
Scuticaria tigrina,Morena atigrada de arrecifes,*
Scytalichthys miurus,Tieso víbora,*
Sebastes constellatus,Rocote estrellado,*
Sebastes cortezi,Rocote de Cortez,*
Sebastes exsul,Rocote filibustero,*
Sebastes macdonaldi,Rocote mexicano,*
Sebastes sinensis,Rocote boquinegra,*
Sebastes spinorbis,Rocote ojo espinoso,*
Selar crumenophthalmus,"Jurel ojo grande, Charrito ojón",*
Selene brevoortii,"Jorobado antena, Palometa jorobada, Jorobado mexicano",*
Selene peruviana,"Jorobado espejo, Jorobado papelillo, Jorobado peseta, Palometa peseta",*
Seriola dorsalis,medregal raboamarillo,*
Seriola peruana,Hojarán fortuna,*
Seriola rivoliana,"el Bojala, Hojarán común, medregal limón",*
Serranus aequidens,"Serrano de agua profunda, Serrano manchado",*
Serranus huascarii,"Serrano bandera, Serrano peruano",*
Serranus psittacinus,"Serrano guaseta, Serrano rayado",*
Sparus aurata,pluma dorada,*
Sphoeroides annulatus,"Tamboril anillado, Botete diana",*
Sphoeroides lispus,Botete liso,*
Sphoeroides lobatus,"Tumbulero lóbulo, Tamboreta narigón, Botete verrugoso",*
Sphoeroides sechurae,"Tamboril peruano, Tamborín sureño",*
Sphoeroides trichocephalus,"Tamboril cola cóncava, Tamboril enano",*
Sphyraena argentea,Picuda plateada,*
Sphyraena ensis,"Barracuda del Pacífico Oriental, Barracuda mejicana, Barracuda picúa",*
Sphyraena idiastes,Barracuda pelícano,*
Sphyraena lucasana,"Picuda agujona, Barracuda de Cortés",*
Sphyraena qenie,Barracuda aleta negra,*
Sphyrna corona,"Tiburón cornuda blanca, Cornuda coronada",*
Sphyrna lewini,"Cornuda cachona, Tiburón cornuda común",*
Sphyrna media,Tiburón cornuda cuchara,*
Sphyrna mokarran,Tiburón cornuda gigante,*
Sphyrna vespertina,Cornuda de corona,*
Sphyrna zygaena,"Tiburón cornuda prieta, Cornuda cruz",*
Squatina californica,"Tiburón angelote del Pacífico, Pez-ángel del Pacífico",*
Starksia cremnobates,"Trambollito fugaz, Trambollito guarida",*
Starksia grammilaga,"Trambollito estilográfo, Trambollito flanco rayado",*
Starksia hoesei,"Trambollito de Hoese, Trambollito manguera",*
Starksia spinipenis,Trambollito macho,*
Stathmonotus sinuscalifornici,"Trambollo-gusano anguila, Tubícola gusano",*
Stegastes acapulcoensis,"Jaqueta acapulqueña, Castañeta indiga",*
Stegastes flavilatus,"Castañeta azul dorado, Jaqueta dos colores",*
Stegastes leucorus,Castañeta colablanca del Norte,*
Stegastes rectifraenum,"Castañeta azulada, Jaqueta de Cortés",*
Stegastes redemptus,"Castañeta azafranada, Jaqueta azafranada, Jaqueta de Clarion",*
Stellifer fuerthii,Chinita blanca,*
Stellifer illecebrosus,"Chinita negra, Corvinilla plateada",*
Stellifer strabo,"Corvina bizca, China picuda",*
Stellifer wintersteenorum,Corvinilla amigable,*
Stereolepis gigas,"Lubina gigante, la Pescara",*
Stethojulis bandanensis,"Vieja mancha roja, Vieja pintada",*
Strongylura exilis,"Agujón bravo, Agujón californiano, Marao de California",*
Sufflamen verres,"Calafate cochi, Chancho cochino, Cochito naranja",*
Syacium latifrons,Lenguado playero,*
Syacium ovale,"Lenguado ovalado, Lenguado pega-pega",*
Symphurus atramentatus,"Lengüeta de vaca, Lengüeta hua, Lengua mediomanchada, Lengua tintorera",*
Symphurus atricaudus,"Lengua californiana, Lengua de perra",*
Symphurus callopterus,"Lengua chocolate, Lengüeta pluma",*
Symphurus chabanaudi,"Lengua cachete prieto, Lengüeta de cachete negro, Lengua de Chabanaud",*
Symphurus elongatus,"Lengüeta ciego, Lengüeta esbelta, Lengua espirilo, Lengua fina",*
Symphurus fasciolaris,Lengua listada,*
Symphurus gorgonae,"Lengua enana, Lengua gorgonaria",*
Symphurus leeorum,"Lengua colinegra, Lengua de Lee",*
Symphurus melanurus,"Lengua común, Lengüeta lucia",*
Symphurus melasmatotheca,"Lengua tripa negra, Lengua vientreoscura",*
Symphurus oligomerus,"Lengua aleta manchada, Lengua coliblanca",*
Symphurus prolatinaris,"Lengua narigona, Lengua semiestriada, Lengüeta semiestriada",*
Symphurus williamsi,"Lengua amarillenta, Lengua de Williams, Lengüeta de Williams",*
Synchiropus atrilabiatus,"Dragoncito de asta, Gobio-adorno vistoso",*
Syngnathus auliscus,"Pez-pipa anillado, Pez-pipa de esteros",*
Syngnathus carinatus,Pez-pipa de Cortés,*
Synodus evermanni,Lagarto cadena,*
Synodus lacertinus,Lagarto de arrecife,*
Synodus lucioceps,Lagarto lucio,*
Synodus scituliceps,"Chile arpón, Garrobo liguiso, Lagarto picudo",*
Synodus sechurae,Lagarto iguana,*
Talismania bifurcata,talismán brillante,*
Taractichthys steindachneri,Tristón segador,*
Tetrapturus angustirostris,Merlín trompa corta,*
Tetronarce californica,Torpedo del Pacífico,*
Thalassoma grammaticum,"Viejita collareja, Vieja crepúsculo, Vieja verde",*
Thalassoma lucasanum,"Viejita arco iris, Arco iris de Cortés",*
Thalassoma virens,Vieja esmeralda,*
Thunnus alalunga,"la Albacora, Atún blanco, Atún de aleta larga",*
Thunnus albacares,"Atún aleta amarilla, Atún rabil",*
Thunnus orientalis,"Atún aleta azul, Atún cimarrón, Atún común",*
Tigrigobius digueti,Gobio barbero,*
Tigrigobius limbaughi,Gobio insólito,*
Tomicodon boehlkei,"Chupapiedra de Bohlke, Chupapiedra de Cortés, Chalaco manchado",*
Tomicodon eos,Chupapiedra rosada,*
Tomicodon humeralis,"Chupapiedra de Sonora, Chupapiedra lisa",*
Tomicodon myersi,"Chupapiedra de Myers, Chupapiedra raya negra",*
Tomicodon zebra,Chupapiedra cebra,*
Totoaba macdonaldi,"Corvinata totoaba, la Totoaba",*
Trachinotus kennedyi,"Pámpano común, Pámpano gitano, Pámpano toro",*
Trachinotus paitensis,Pámpano paloma,*
Trachinotus rhodopus,"Pámpano fino, el Pampanito",*
Trachurus symmetricus,"Charrito chícharo, Chicharro ojón",*
Triaenodon obesus,"Tiburón cazón coralero trompacorta, Puntiblanco de arrecife",*
Triakis semifasciata,"Tiburón leopardo, Tollo leopardo",*
Trichiurus nitens,pez-sable pacífico,*
Trinectes fonsecensis,"Suela rayada, Lenguado-redondo rayado",*
Tylosurus fodiator,Marao lisero del Pacífico Oriental,*
Tylosurus melanotus,Marao isleño,*
Tylosurus pacificus,"Agujón del Pacífico, Marao ojón",*
Umbrina analis,"Polla espinosa, Verrugata espinuda",*
Umbrina bussingi,"Polla ojona, Verrugato prieto",*
Umbrina dorsalis,Verrugato aleta larga,*
Umbrina roncador,"Berrugata aleta amarilla, Verrugato ronco",*
Umbrina wintersteeni,"Berrugata de Cortés, Verrugato de Wintersteen",*
Umbrina xanti,"Verrugato polla, Polla rayada, Verrugata roncadora",*
Uraspis helvola,Jurel lengua blanca,*
Urobatis concentricus,"Raya-redonda concéntrica, Raya-redonda de arrecife, Raya-redonda mancha en mancha",*
Urobatis halleri,"Raya-redonda común, Raya-redonda de Haller",*
Urobatis maculatus,"Raya-redonda de Cortéz, Raya-redonda manchada",*
Uropterygius macrocephalus,"Morena alfiletera, Morena cabezona",*
Uropterygius polystictus,Morena pintada,*
Uropterygius versutus,"Morena astuta, Morena de dos huecos, Morena lista",*
Urotrygon aspidura,"Raya-redonda narigona, Raya-redonda panámica, Raya-redonda picuda, Raya-redonda rabo espinudo",*
Urotrygon chilensis,"Raya-redonda chilena, Raya-redonda moteada",*
Urotrygon munda,"Raya-redonda áspera, Raya-redondeada munda",*
Urotrygon nana,Raya-redonda enana,*
Urotrygon rogersi,"Raya-redonda de púas, Raya-redonda de Rogers, Raya-redonda espinosa",*
Venefica tentaculata,serpentina hocicona,*
Xanthichthys mento,"Pejepuerco cola roja, Cochito cuadriculado, Chancho lindo",*
Xenichthys xanti,"la Chula, Salema ojona",*
Xenomedea rhodopyga,"Trambollito enmascarado, Trambollito nalga roja",*
Xiphias gladius,Pez espada,*
Xyrichtys mundiceps,"Cuchillo desnudo, Cuchillo viejita",*
Xystreurys liolepis,Lenguado cola de abanico,*
Zalembius rosaceus,"Mojarra rosada, Mojarra vivípara",*
Zalieutes elater,Pez-murciélago ocelado,*
Zanclus cornutus,Ídolo moro,*
Zapteryx exasperata,"Guitarra diablo, Guitarra rayada",*
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
