Species2,Common_name,Confirmed
Bollmannia ocellata,"Gobio ocelado, Gobio penacho",*
Bollmannia stigmatura,Gobio cola manchada,*
Bollmannia umbrosa,"Gobio labio negro, Gobio prieto",*
Bothus leopardinus,Lenguado leopardo del Pacífico,*
Brachygenys californiensis,"Salema pajarilla, la Salema",*
Bregmaceros bathymaster,"Bacalete del Pacífico oriental, Merlucita del Pacífico Oriental",*
Brockius striatus,"Trambollo listado, Trambollo verde",*
Brotula clarkae,Lengua rosada,*
Calamus brachysomus,"Sargo chaveco, Sargo del norte, pluma marotilla",*
Caliraja cortezensis,Raya de Cortés,*
Caliraja inornata,Raya de California,*
Caliraja rhina,Raya narigona,*
Callechelys cliffi,"Tieso-vela aquillado, Tieso aquillado arenero, Tieso-vela punteado",*
Callechelys eristigma,Tieso-vela aquillado de manchas,*
Calotomus carolinus,Pococho perico,*
Cantherhines dumerilii,"Cachúa blanca nieves, Lija coliamarilla, Lija vagabunda",*
Canthidermis maculata,"Calafate áspero, Chancho manchado, Cochito manchado, Gatillo manchado",*
Canthigaster punctatissima,"Botete bonito, Tamboril bonito, Botete enano",*
Caranx caballus,"Jurel bonito, Jurel cojinua",*
Caranx caninus,Jurel toro,*
Caranx lugubris,Jurel negro,*
Caranx melampygus,"Jurel aleta azul, Jurel azul",*
Caranx sexfasciatus,"Jurel ojigordo, Jurel ojón, Jurel voraz",*
Caranx vinctus,"Cocinero común, Jurel platanillo, Jurel rayado",*
Carapus dubius,"Pez-perla común, Perlero del Pacífico",*
Carcharhinus albimarginatus,"Tiburón punta blanca, Tiburón puntas blancas",*
Carcharhinus altimus,"Tiburón baboso, Tiburón narizón",*
Carcharhinus brachyurus,Tiburón cobrizo,*
Carcharhinus cerdale,"Tiburón de cuero duro del Pacífico, Tiburón poroso Pacífico",*
Carcharhinus falciformis,"Tiburón jaquetón, Tiburón piloto",*
Carcharhinus galapagensis,Tiburón de Galápagos,*
Carcharhinus leucas,"Tiburón sarda, Tiburón toro",*
Carcharhinus limbatus,"Tiburón aleta negra, Tiburón macuira, Tiburón volador",*
Carcharhinus longimanus,"Tiburón aleta blanca, Tiburón oceánico",*
Carcharhinus obscurus,"Tiburón arenero, Tiburón gambuso, Tiburón oscuro",*
Carcharodon carcharias,"Jaquetón blanco, Tiburón blanco",*
Cathorops liropus,bagre conguito,*
Caulolatilus affinis,"Blanquillo cabezón, Blanquillo conejo, el Conejo",*
Caulolatilus princeps,"Blanquillo fino, la Pierna",*
Centropomus armatus,"Róbalo armado, Róbalo espina larga",*
Centropomus medius,"Róbalo aleta manchada, Róbalo aleta prieta, Róbalo ojón",*
Centropomus nigrescens,"Róbalo negro, Róbalo redondo",*
Centropomus robalito,"Róbalo de aleta amarilla, el Robalito",*
Centropomus viridis,"Róbalo blanco, Róbalo plateado",*
Cephalopholis colonus,"el Indio, Cuna lucero, la Sandía, Cabinaza serránida",*
Cephalopholis panamensis,"Cabrilla enjambre, Cabrilla panameña",*
Cephaloscyllium ventriosum,"pejegato inflado, Tiburón pejegato globo",*
Cephalurus cephalus,pejegato renacuajo,*
Cetengraulis mysticetus,"Anchoa agallota, Anchoveta bocona, Anchoveta chuchuelo",*
Cetorhinus maximus,Tiburón peregrino,*
Chaenomugil proboscideus,Lisa hocicona,*
Chaenopsis alepidota,"Trambollín-lucio lápiz, Tubícola lucio",*
Chaenopsis coheni,"Trambollín-lucio de Cohen, Tubícola picudo",*
Chaetodipterus zonatus,"el Chambo, Paguala peluquera, pollera rayada, Catecismo rayado",*
Chaetodon humeralis,"Mariposa muñeca, Mariposa triplebanda",*
Chanos chanos,"el Chano, el Sabalote",*
Cheilopogon californicus,"Volador cabecita, Volador de California",*
Cheilopogon dorsomacula,"Volador de dorso manchado, Volador lomo manchado",*
Cheilopogon papilio,Volador mariposa,*
Cheilopogon xenopterus,"Volador gorrión, Volador puntas blancas",*
Cheilotrema saturnum,Corvinata negra,*
Cherublemma emmelas,Brótula negra,*
Chilara taylori,"Congriperla manchada, Congriperla moteada",*
Chiloconger dentatus,"Congrio de labio grueso, Congrio labioso, Congrio nariz corta",*
Chilomycterus reticulatus,"Pez erizo chiquito, Pez erizo enano, Pez erizo manchado",*
Chlopsis apterus,Morena-falsa de hocico rayado,*
Chlopsis kazuko,Morena-falsa de Kazuko,*
Chloroscombrus orqueta,"el Casabe, Jurel citarita, Horqueta del Pacífico, Bonito ojón, la Orqueta, Jurel pardo",*
Chriolepis cuneata,"Gobio carril, Gobio cuña",*
Chriolepis minutilla,"Gobio conchalero, Gobio pardo",*
Chriolepis semisquamata,Gobio furtivo,*
Chriolepis zebra,"Gobio largatija, Gobio salamanquesa",*
Chromis alta,"Castañeta alta, Castañuela de aguas profundas, Damisela de franja blanca, Castañuela gorda, Castañuela oval",*
Chromis limbaughi,"Castañuela de Limbaughi, Castañuela mejicana, Castañeta mexicana",*
Cirrhitichthys oxycephalus,Halcón de coral,*
Cirrhitus rivulatus,"Halcón carabalí, Halcón gigante, Chino mero",*
Cirriemblemaria lucasana,"Trambollín-tubícola plumero, Tubícola plumoso",*
Citharichthys fragilis,"Lenguado del Golfo, Lenguado flaco",*
Citharichthys gilberti,"Lenguado boca grande, Lenguado tapadera",*
Citharichthys gordae,"Lenguado arenero, Lenguado escondido",*
Citharichthys mariajorisae,"Lenguado cinco radios, Lenguado de María Joris",*
Citharichthys platophrys,"Lenguado enano, Lenguado frentón, Lenguado zingua",*
Citharichthys stigmaeus,Lenguado pecoso,*
Citharichthys xanthostigma,Lenguado alón,*
Clarkichthys bilineatus,Gobio-gusano colibandera,*
Cololabis saira,Paparda del Pacífico,*
Colpichthys hubbsi,Pejerrey delta,*
Colpichthys regis,Pejerrey charal,*
Conodon serrifer,Roncador ofensivo,*
Cookeolus japonicus,"Catalufa aleta larga, Catalufa ojona",*
Coralliozetus angelicus,Trambollín-tubícola ángel,*
Coralliozetus boehlkei,"Tubícola cachete rayado, Trambollín-tubícola de Bohlke",*
Coralliozetus micropes,"Tubícola cara de cebra, Trambollín-tubícola rizado",*
Coralliozetus rosenblatti,Trambollín-tubícola espiga,*
Coryphaena equiselis,"Dorado enano, Dorado pámpano",*
Coryphaena hippurus,Dorado común,*
Coryphopterus urospilus,Gobio semáforo,*
Cosmocampus arctus,"Pez-pipa chato, Pez-pipa ñata",*
Crocodilichthys gracilis,"Triple aleta rayada, Lagartija tres aletas",*
Cryptotrema seftoni,Trambollo escondido,*
Ctenogobius manglicola,Gobio de manglar,*
Ctenogobius sagittula,Gobio aguzado,*
Cubiceps pauciradiatus,"Flotador aleta larga, Derivante ojón",*
Cyclopsetta panamensis,"Lenguado boca de Dios, Lenguado panámico, Lenguado sureño",*
Cyclopsetta querna,"Lenguado con caninos, Lenguado dientón",*
Cynoponticus coniceps,"Morenocio bio-bio, Congrio dientudo, Congrio espantoso",*
Cynoscion albus,"Corvina blanca, Corvina chiapaneca",*
Cynoscion nannus,"Corvina de profundidad, Corvinata enana, Corvina enana de altamar",*
Cynoscion othonopterus,"Corvina del Golfo, Corvina golfina",*
Cynoscion parvipinnis,Corvina de aleta corta,*
Cynoscion reticulatus,Corvina rayada,*
Cynoscion squamipinnis,Corvina aguada,*
Cynoscion stolzmanni,"Corvina coliamarilla, Corvina de Stoltzmann",*
Cynoscion xanthulus,"Corvina boca amarilla, Corvina norteña",*
Cypselurus callopterus,"Volador bonito, Volador manchado",*
Dactylagnus mundus,Miraestrellas gigante,*
Dactylagnus parvus,"Miraestrellas de arena enana, Miraestrellas panámica",*
Dactyloscopus amnis,"Miraestrellas de arena estuarina, Miraestrellas ribereña",*
Dactyloscopus byersorum,"Miraestrellas coliranurada, Miracielo de arena de Byers",*
Dactyloscopus elongatus,Miraestrellas esbelta,*
Dactyloscopus fallax,Miraestrellas fisgona falsa,*
Dactyloscopus heraldi,Miraestrellas de Baja,*
Dactyloscopus lunaticus,"Miraestrellas de arena de la luna, Miraestrellas lunática",*
Dactyloscopus pectoralis,Miraestrellas fisgona,*
Dajaus monticola,"Lisa de río, Trucha de tierra caliente, Lisa Tepemechín",*
Decapterus macarellus,"Macarela caballa, Caballa verde",*
Decapterus macrosoma,"Macarela alicorta, Caballa fina",*
Decapterus muroadsi,"Macarela mejicana, Macarela plátano",*
Deckertichthys aureolus,"Palmito dorado, Mojarra palometa",*
Decodon melasma,"Señorita de mancha negra, Vieja manchada, Lorito marcadoos.",*
Dermatolepis dermatolepis,"Mero coriáceo, Mero cuero",*
Diapterus brevirostris,Palmito aleta amarilla,*
Diodon holocanthus,"Pez erizo enmascarado, Pez erizo mapache",*
Diodon hystrix,"Pez erizo espinoso, Pez erizo pecoso",*
Diplectrum eumelum,Menta carabonita,*
Diplectrum euryplectrum,"Camotillo espinudo, Camotillo extranjero",*
Diplectrum labarum,"Camotillo de hebra, Camotillo espinoso",*
Diplectrum macropoma,"Serrano mexicano, Menta rayada",*
Diplectrum maximum,Camotillo de altura,*
Diplectrum pacificum,"Camotillo cabaicucho, Menta del Pacífico",*
Diplectrum rostrum,"Camotillo fino, Serrano frenado, Menta trompamanchada",*
Diplectrum sciurus,Camotillo ardilla,*
Diplobatis ommata,"Raya-eléctrica diana, Raya-eléctrica ocelada",*
Diplospinus multistriatus,Escolar rayado,*
Dormitator latifrons,"Dormilón chame, Dormilón porroco, el Puyeki",*
Dorosoma petenense,"Sábalo de hilo, Sardina maya",*
Doryrhamphus melanopleura,"Pez-pipa chica, Pez-pipa enana",*
Echeneis naucrates,Rémora rayada,*
Echidna nebulosa,Morena estrellada,*
Echidna nocturna,Morena pecosa,*
Echinorhinus cookei,"Tiburón espinoso negro, Tiburón negro espinoso",*
Echiodon exsilium,"Pez-perla delgado, Perlero nocturno",*
Echiophis brunneus,"Tieso colmilludo, Tieso cucharón, Tieso dientudo",*
Ekemblemaria myersi,Trambollín-tubícola de cejas,*
Elacatinus puncticulatus,"Gobio cabeza roja, Gobio testaroja",*
Elagatis bipinnulata,"Macarela cola amarilla, Macarela salmón",*
Elattarchus archidium,Corvina gallinita,*
Eleotris picta,guavina manchada,*
Elops affinis,"Machete del Pacífico Oriental, Pez torpedo",*
Emblemaria hypacanthus,"Trambollín-señalizador flamante, Tubícola flamante",*
Emblemaria walkeri,Tubícola fugaz,*
Encheliophis vermicularis,"Perlero mocho, Pez-perla sin aletas",*
Enchelycore octaviana,"Morena boquiabierta, Morena octaviana, Morena quijada delgada",*
Engraulis mordax,"Anchoa de California, Anchoveta de California, Anchoveta norteña",*
Engyophrys sanctilaurentii,Lenguado cola manchada,*
Enneanectes carminalis,Triple aleta manchada,*
Enneanectes reticulatus,"Tres aletas reticulada, Triple aleta bandera",*
Entomacrodus chiostictus,"Borracho aleta mocha, Cachudito de peña",*
Epinephelus analogus,"Mero moteado, Mero orillero, Cabrilla pintada, Mero punteado",*
Epinephelus clippertonensis,Mero de Clipperton,*
Epinephelus labriformis,"Cabrilla de peña, Cabrilla piedrera, Mero pintado",*
Epinephelus quinquefasciatus,"Mero de profundidad del Pacífico, Mero guasa del Pacífico, Mero ojo chiquito del Pacífico",*
Erotelis armiger,"guavina cabeza plana, Gobio de Armiger",*
Ethadophis byrnei,"Tieso de Cortéz, Tieso ordinario",*
Etropus ciadi,Lenguado de Cortés,*
Etropus crossotus,"Lenguado boca chica, Lenguado ribete",*
Etropus peruvianus,"Lenguado peruano, Lenguado zapatilla",*
Etrumeus acuminatus,Sardina canalera oriental,*
Eucinostomus currani,"Palmito bandera, Mojarra tricolor",*
Eucinostomus dowii,"Mojarra manchita, Palmito plateado",*
Eucinostomus entomelas,"Palmito brillante, Mojarra mancha negra",*
Eucinostomus gracilis,"Mojarra charrita, Mojarra delgada, Palmito fino",*
Eugerres axillaris,Mojarra malacapa,*
Eugerres lineatus,"Mojarra cahuacha, Mojarra china",*
Euleptorhamphus viridis,"Agujeta alargada, Agujeta cinta, Saltador verde",*
Euprepocaranx dorsalis,"Cocinero chicuaca, Jurel de hebra",*
Euthynnus lineatus,Barrilete negro,*
Evermannia longipinnis,"Gobio cabeza grande, Gobio enigmático",*
Evermannia zosterura,"Gobio colirrayada, Gobio de bandas",*
Evorthodus minutus,"Gobio aletas rojas, Gobio pequeño",*
Exocoetus monocirrhus,Volador barbudo,*
Facciolella equatorialis,serpentina bruja,*
Ferdauia orthogrammus,"Jurel isleño, Jurel manchado",*
Fistularia commersonii,"Corneta de arrecife, Pez-corneta pintada",*
Fistularia corneta,Corneta flautera,*
Fodiator rostratus,"Volador mentón picudo, Gorrión picudo",*
Forcipiger flavissimus,"Mariposa hocicona, Mariposa picuda",*
Fowlerichthys avalonis,"Ranisapo antenado, Zanahoria ocelada",*
Galeocerdo cuvier,"Tiburón tigre, Tiburón tintorera",*
Galeorhinus galeus,"Tiburón aceitoso, Tiburón cazón",*
Galeus piperatus,pejegato pimienta,*
Genyatremus dovii,"Burro cotongo, Burro rompepaila",*
Genyonemus lineatus,Roncador blanco,*
Gerres simillimus,"Palmito blanco, Palmito rayado",*
Gillellus arenicola,"Miraestrellas fina, Miraestrellas de arena fina",*
Gillellus ornatus,"Miracielo de arena elaborado, Miraestrellas ornada",*
Gillellus semicinctus,"Miraestrellas de arena estrella lisa, Miraestrellas de arena media franja",*
Gillichthys detrusus,Chupalodo delta,*
Gillichthys mirabilis,Chupalodo grande,*
Gillichthys seta,Chupalodo chico,*
Ginglymostoma unami,Tiburón gata-pacífica,*
Girella simplicidens,Chopa ojo azul,*
Gnathanodon speciosus,"Jurel arenoso, Jurel dorado, Pámpano rayado",*
Gnathophis cinctus,"Congrio cola tiesa, Congrio de Catalina",*
Gobiesox adustus,Chupapiedra panámica,*
Gobiesox funebris,Chupapiedra discofrágil norteña,*
Gobiesox lanceolatus,chupapiedras de cañón,*
Gobiesox papillifer,Chupapiedra barbuda,*
Gobiesox pinniger,Chupapiedra renacuajo,*
Gobiesox schultzi,"Chupapiedra de Schultz, Chupapiedra labioliso",*
Gobiomorus maculatus,"Dormilón escamas grandes, Dormilón manchado",*
Gobionellus microdon,"Gobio cola de palma, Gobio plateado",*
Gobiosoma chiquita,"Gobio chiquito, Gobio puntos negros",*
Gobiosoma nudum,"Gobio bulto, Gobio desnudo",*
Gobiosoma paradoxum,Gobio paradoja,*
Gobiosoma seminudum,"Gobio cienoso, Gobio de intermareas",*
Gobulus crescentalis,Gobio cresciente,*
Gobulus hancocki,Gobio invertido,*
Gorgasia punctata,"Anguila-jardín arenosa, Varga punteada, Congrio punteado",*
Grammonus diagrammus,"Brótula morada, Brótula púrpura",*
Gymneleotris seminuda,"Gobio blanco y negro, Gobio rayado",*
Gymnomuraena zebra,Morena zebra,*
Gymnothorax castaneus,"Morena castaña, Morena prieta, Morena verde panámica",*
Gymnothorax dovii,"Morena pintita, Morena punteada",*
Gymnothorax equatorialis,Morena cola pintada,*
Gymnothorax eurygnathos,Morena boca ancha,*
Gymnothorax panamensis,"Morena de ojo negro, Morena enmascarada, Morena mapache",*
Gymnura crebripunctata,"Raya-mariposa Peruviana, Tuyo Peruviano",*
Gymnura marmorata,"Raya-mariposa californiana, Raya-mariposa de California, Tuyo de California",*
Haemulon flaviguttatum,"Roncador amarillo, Burro de Cortés, Ronco manchado",*
Haemulon maculicauda,"Burro rasposo, Ronco soldadito",*
Haemulon scudderii,"Ronco bacoco, Roncador pecoso",*
Haemulon sexfasciatum,Roncador almejero,*
Haemulon steindachneri,"Ronco chere-chere, Roncador fríjol, Burro latino",*
Haemulopsis axillaris,"Vieja aleta larga, Ronco callana",*
Haemulopsis elongatus,"Ronco alargado, Ronco trompudo",*
Haemulopsis leuciscus,"Ronco chinilla, Ronco ruco",*
Haemulopsis nitida,"Ronco brillante, Ronco espina corta",*
Halichoeres aestuaricola,Señorita de manglar,*
Halichoeres chierchiae,Señorita herida,*
Halichoeres dispilus,"Señorita camaleón, Señorita cocinera, Doncella de San Pedro",*
Halichoeres inornatus,Señorita del Cabo,*
Halichoeres melanotis,"Doncella dorada, Señorita orejona",*
Halichoeres nicholsi,Señorita solterona,*
Halichoeres notospilus,"Señorita de cintas, Señorita listada",*
Halichoeres semicinctus,"Doncella piedrera, Señorita roquera",*
Harengula thrissina,"Sardinita plumilla, Arenque plumita, Sardineta plumita",*
Harriotta raleighana,quimera picuda,*
Hemanthias peruanus,"Cabrilla de Perú, Doncella doble cola",*
Hemanthias signifer,Cabrilla doncella,*
Hemicaranx leucurus,"Jurelito aletiamarilla, Jurelillo amarillo, Jurel arenero, Casabe ñato",*
Hemicaranx zelotes,"Jurelito chocho, Casabe chumbo, Jurelillo negro",*
Hemiramphus saltator,"Agujeta pajarito, Pajarito saltador",*
Herpetoichthys fossatus,"Tieso afuera, Tieso bigotón",*
Heteristius cinctus,Miracielo de arena vendado,*
Heteroconger canabus,"Anguila-jardín barra blanca, Varga de anillos blancos, Congrio del Cabo",*
Heteroconger digueti,"Anguila-jardín cabezona, Congrio de Cortéz, Varga descolorida",*
Heteroconger pellegrini,"Anguila-jardín imitador, Varga imitador, Congrio pecoso",*
Heterodontus francisci,"Tiburón cornudo dormilón, Tiburón puerco",*
Heterodontus mexicanus,"Dormilón búfalo, Cornudo mejicano, Tiburón perro",*
Heteropriacanthus carolinus,Catalufa roquera indo-pacífica,*
Hexanchus griseus,"Tiburón de seis branquias, cañabota gris",*
Hippocampus ingens,Caballito del Pacífico Oriental,*
Hippoglossina bollmani,Lenguado pintado,*
Hippoglossina stomata,"Lenguado bocón, Lenguado manchado",*
Hippoglossina tetrophthalma,Lenguado cuatrojos,*
Hirundichthys marginatus,"Volador ala navaja, Volador aleta blanca, Volador de banda",*
Hirundichthys rondeletii,Volador aleta negra,*
Hirundichthys speculiger,Volador espejo,*
Holacanthus clarionensis,"Muñeca colorada, Ángel de Clarion",*
Holacanthus passer,"Ángel bandera, Muñeca real",*
Hoplopagrus guentherii,"Pargo coconaco, Pargo roquero",*
Hoplunnis pacifica,"serpentina plateada, Congrio plateado",*
Hydrolagus colliei,quimera manchada,*
Hydrolagus melanophasma,quimera negra oriental,*
Hypanus dipterurus,"Raya-látigo batana, Raya-látigo común, Raya-látigo diamante",*
Hypanus longus,"Raya-látigo coluda, Raya-látigo largo",*
Hyporhamphus gilli,"Agujeta choela, Pajarito cholo",*
Hyporhamphus naos,"Saltador blanco, Pajarito blanco del Pacífico, Saltador de Naos",*
Hyporhamphus rosae,Agujeta de California,*
Hyporthodus acanthistius,"la Baqueta, Mero buchón, Mero colorado, Mero rosado",*
Hyporthodus cifuentesi,"Mero gallina, Cherna mantequilla, Mero norteño, Cabrilla verde",*
Hyporthodus niphobles,"Mero gris, Mero manchado, Baqueta ploma",*
Hypsoblennius brevipinnis,"Cachudito pico de lapa, Cachudito vacilón",*
Hypsoblennius gentilis,Cachudito de bahía,*
Hypsoblennius gilberti,Borracho de poza,*
Hypsoblennius jenkinsi,"Cachudito de mejillón, Borracho mejillonero",*
Hypsypops rubicundus,Jaqueta Garibaldi,*
Ichthyapus selachops,"Tieso puntiaguda, Tieso sonriente",*
Ilypnus gilberti,Gobio mejilla manchada,*
Ilypnus luculentus,Gobio brillante,*
Iniistius pavo,"Peine cornudo, Cuchillo pavo-real, Cuchillo pintado",*
Isopisthus altipinnis,Corvina ojona,*
